Disease,Symptoms
Bipolar Disorder,redness; dry skin; mood swings
Schizophrenia variant 1,muscle pain; nasal congestion; fever; loss of consciousness; gurgling; frequent infections
PTSD,excessive thirst; memory loss; constipation
Obsessive Compulsive Disorder,fever; vaginal discharge; edema; ear pain; localized pain; recurrent infections; pale skin
Insomnia (acute),blood in urine; abdominal pain; night sweats; vision changes; edema; polyuria
Substance Use Disorder (acute),stiffness; hallucinations; vision changes; insomnia; blood in urine
Alcohol Use Disorder (chronic),itching; severe pain; menstrual irregularities; abnormal vaginal bleeding; ear pain; breast lump; anxiety
Smoking Related Disorder (acute),balance problems; sore throat; blocked urine flow; depression; muscle pain; bruising; excessive thirst
Osteomyelitis (chronic),bad breath; loss of consciousness; menstrual irregularities; stridor; weight loss
Rickets (acute),constipation; gurgling; difficulty swallowing; red eye; halitosis; generalized pain; sweating; diarrhea
Scurvy (chronic),speech difficulty; infertility; halitosis; urinary frequency
Dehydration variant 2,heat intolerance; generalized pain; severe pain; loss of consciousness; weakness; sweating; pelvic pain
Heat Stroke variant 5,fever; recurrent infections; vomiting; weight gain; hearing loss; dry skin; blurred vision; dizziness
Hypothermia,hoarseness; blocked urine flow; nausea; cold intolerance; palpitations
Influenza (chronic),pelvic pain; infertility; heat intolerance; edema; memory loss; redness; persistent cough; dry skin
Common Cold (acute),bad breath; sore throat; finger clubbing
Pneumonia,eye pain; cough; sneezing; slow wound healing; recurrent infections; memory loss
Bronchitis variant 2,nasal congestion; palpitations; halitosis; dry skin; speech difficulty
Asthma variant 5 #759,generalized pain; difficulty swallowing; heat intolerance; chills; trauma history; palpitations; blood in urine
Chronic Obstructive Pulmonary Disease (acute),edema; fever; sweating; vomiting
Tuberculosis variant 3,bad breath; infertility; burning urination; easy bruising; menstrual irregularities
COVID-19 variant 1,dry mouth; sneezing; memory loss; cough; stridor; loss of consciousness
Sinusitis,vomiting; anxiety; redness
Allergic Rhinitis variant 3,depression; polyuria; urinary urgency; itching; hoarseness; cold intolerance; nasal congestion; floaters
Otitis Media,excessive thirst; fever; stiffness; sore throat; breast lump; weakness in limb
Pharyngitis (acute),depression; syncope; weakness in limb
Tonsillitis variant 3,urinary frequency; bloating; recurrent infections; speech difficulty; muscle pain
Gastroenteritis,frequent infections; excessive thirst; muscle pain; localized pain; eye pain; vaginal discharge; insomnia
Gastritis (chronic),odor; joint pain; abnormal vaginal bleeding; urinary frequency; bad breath; floaters
Peptic Ulcer Disease,floaters; dry mouth; chest pain; balance problems; bloating; stiffness; dizziness; vaginal discharge
GERD,halitosis; hoarseness; trauma history; generalized pain; difficulty swallowing; recurrent infections; pale skin; breast lump
Hepatitis A variant 3,memory loss; hallucinations; cough; generalized pain; stiffness
Hepatitis B (chronic),redness; vomiting; infertility; trauma history
Hepatitis C variant 4,urinary frequency; syncope; anxiety; sore throat; hearing loss; pale skin; burning urination; ear discharge
Fatty Liver (acute),rash; runny nose; gurgling; severe pain; nasal congestion; tingling; stridor
Cirrhosis variant 3,back pain; stridor; stiffness; ear pain
Pancreatitis,sneezing; joint pain; hair loss; burning urination
Gallstones,bad breath; abdominal pain; constipation; nausea
Appendicitis (chronic),slow wound healing; tingling; heat intolerance; fever; postmenopausal bleeding; mood swings; fatigue; balance problems
Irritable Bowel Syndrome,hair loss; pale skin; tingling; excessive thirst; itching
Ulcerative Colitis,runny nose; postmenopausal bleeding; speech difficulty; itching; menstrual irregularities; hoarseness
Crohn's Disease (chronic) #782,loss of appetite; weakness; confusion; recurrent infections; vision changes; balance problems; mood swings
Diverticulitis,weakness in limb; urinary urgency; menstrual irregularities
Celiac Disease,bad breath; sore throat; floaters; constipation; generalized pain; memory loss; pale skin; localized pain
Constipation,cough; trauma history; ear pain
Diarrhea (acute),polyuria; diarrhea; jaundice; blood in urine; heat intolerance; stiffness
Urinary Tract Infection,anxiety; stiffness; back pain; rash
Pyelonephritis variant 3,heat intolerance; urinary frequency; blood in urine; runny nose; tingling; vision changes
Kidney Stones,breast pain; generalized pain; abnormal vaginal bleeding; blocked urine flow
Acute Renal Failure (chronic),infertility; itching; red eye; runny nose; excessive thirst
Chronic Kidney Disease,excessive thirst; severe pain; difficulty swallowing; diarrhea
Urinary Incontinence (chronic),rash; recurrent infections; back pain; depression; blurred vision; vaginal discharge; sneezing; weight gain
Benign Prostatic Hyperplasia (chronic),night sweats; hearing loss; lymphadenopathy; cough; sore throat; breast pain; tingling; weight loss
Prostatitis (chronic),memory loss; hallucinations; bloody cough; pale skin; halitosis; numbness; bleeding; muscle pain
Erectile Dysfunction,insomnia; weakness; menstrual irregularities; diarrhea; localized pain; sweating; headache
Endometriosis,muscle pain; hearing loss; acne; diarrhea
Polycystic Ovary Syndrome,gurgling; yellow eyes; stiffness; blood in urine; depression; lymphadenopathy
Pelvic Inflammatory Disease (acute),urinary urgency; shortness of breath; breast lump; constipation; trauma history
Ovarian Cyst (acute),sneezing; excessive thirst; edema; hallucinations; sore throat; bad breath; redness
Influenza,jaundice; trauma history; speech difficulty; numbness; bad breath
Common Cold (acute),red eye; nausea; vaginal discharge; heat intolerance; redness; tinnitus; acne; weight gain
Pneumonia (chronic),finger clubbing; lymphadenopathy; urinary frequency; breast pain
Bronchitis (chronic),heat intolerance; excessive thirst; infertility; syncope; nausea; sweating; urinary frequency; difficulty swallowing
Asthma,pale skin; edema; swelling; loss of consciousness; rash
Chronic Obstructive Pulmonary Disease #805,leg swelling; menstrual irregularities; rash; eye pain; bad breath; blood in urine; gurgling
Tuberculosis,memory loss; red eye; breast lump; chills; runny nose; shortness of breath; loss of appetite
COVID-19 (acute),back pain; slow wound healing; muscle pain; gurgling; generalized pain; nausea; ear pain; chills
Sinusitis variant 1,abdominal pain; diarrhea; dizziness; hearing loss; anxiety; weakness
Allergic Rhinitis (acute),odor; menstrual irregularities; confusion
Otitis Media (chronic),abdominal pain; stiffness; hair loss
Pharyngitis,nausea; edema; pelvic pain; bruising
Tonsillitis,joint pain; stridor; redness; eye pain
Gastroenteritis,loss of appetite; confusion; chills; chest pain; palpitations; slow wound healing; burning urination; jaundice
Gastritis,tinnitus; mood swings; rash; anxiety; eye pain; weight loss
Peptic Ulcer Disease variant 4,mood swings; sore throat; dry mouth; dry skin; floaters; acne; gurgling; finger clubbing
GERD,blurred vision; confusion; finger clubbing; hallucinations; bruising; urinary urgency; balance problems
Hepatitis A,difficulty swallowing; lymphadenopathy; vomiting; eye pain; bruising; blood in urine; breast lump
Hepatitis B (acute),night sweats; bleeding; cough; fever; memory loss
Hepatitis C,urinary urgency; redness; hearing loss; hallucinations
Fatty Liver,localized pain; numbness; abnormal vaginal bleeding
Cirrhosis (chronic),bleeding; cough; odor; blurred vision; recurrent infections; swelling
Pancreatitis (acute),difficulty swallowing; frequent infections; fever; anxiety; blocked urine flow; nasal congestion; breast lump
Gallstones,blurred vision; menstrual irregularities; joint pain; sweating; persistent cough; stridor; leg swelling
Appendicitis (chronic),vaginal discharge; hoarseness; stiffness; nausea; vision changes; acne
Irritable Bowel Syndrome (acute),memory loss; postmenopausal bleeding; recurrent infections; heat intolerance
Ulcerative Colitis (acute),severe pain; rash; redness; edema; gurgling; hallucinations; lymphadenopathy; breast lump
Crohn's Disease,dizziness; runny nose; weight loss; swelling
Diverticulitis #828,finger clubbing; floaters; hair loss
Celiac Disease,rash; generalized pain; hair loss; numbness; nasal congestion; jaundice
Constipation,night sweats; weakness; hallucinations
Diarrhea variant 4,runny nose; abdominal pain; redness
Urinary Tract Infection (acute),loss of appetite; persistent cough; eye pain; wheezing; cough
Pyelonephritis (chronic),vomiting; night sweats; cough; tingling
Kidney Stones,urinary frequency; breast pain; bruising; halitosis
Acute Renal Failure,blocked urine flow; tinnitus; generalized pain; frequent infections; palpitations; yellow eyes
Chronic Kidney Disease variant 2,abnormal vaginal bleeding; weight gain; headache
Urinary Incontinence,bad breath; menstrual irregularities; syncope; mood swings; hearing loss
Benign Prostatic Hyperplasia (acute),nasal congestion; muscle pain; vaginal discharge; cough
Prostatitis (chronic),odor; persistent cough; joint pain
Erectile Dysfunction (chronic),odor; eye pain; joint pain; stridor; palpitations; sneezing
Endometriosis (acute),stridor; odor; diarrhea; memory loss; easy bruising; ear pain
Polycystic Ovary Syndrome (chronic),pelvic pain; severe pain; bruising; jaundice; sweating; acne
Pelvic Inflammatory Disease (acute),fatigue; gurgling; anxiety; memory loss; constipation; muscle pain; balance problems; finger clubbing
Ovarian Cyst (chronic),sneezing; blood in urine; weakness; easy bruising; ear discharge
Ectopic Pregnancy,back pain; finger clubbing; blurred vision
Preeclampsia variant 3,cough; chills; frequent infections; itching; polyuria
Gestational Diabetes (chronic),menstrual irregularities; frequent infections; joint pain
Pneumothorax,fatigue; polyuria; halitosis
Pulmonary Embolism,hearing loss; localized pain; dry skin; night sweats; blocked urine flow; odor; vomiting; joint pain
Deep Vein Thrombosis,tingling; vomiting; severe pain; hair loss
Myocardial Infarction (acute) #851,postmenopausal bleeding; acne; headache; burning urination; leg swelling
Angina,generalized pain; hallucinations; frequent infections; abdominal pain
Heart Failure variant 2,numbness; difficulty swallowing; pale skin; depression
Hypertension (acute),abnormal vaginal bleeding; urinary urgency; lymphadenopathy; eye pain; wheezing; nasal congestion; shortness of breath; localized pain
Hypotension variant 5,burning urination; bloody cough; weight loss; muscle pain; fatigue; numbness
Arrhythmia (chronic),eye pain; depression; swelling; mood swings; generalized pain; numbness; nasal congestion; insomnia
Atrial Fibrillation (chronic),mood swings; urinary urgency; jaundice; wheezing
Endocarditis,itching; dry skin; anxiety; sweating; dizziness; confusion
Pericarditis (acute),red eye; swelling; stiffness; mood swings
Rheumatic Heart Disease,floaters; fever; bad breath; finger clubbing; weakness in limb
Stroke,wheezing; runny nose; shortness of breath; hair loss; blood in urine; bad breath
Transient Ischemic Attack variant 1,back pain; jaundice; bloody cough; dizziness; slow wound healing; hallucinations; pelvic pain
Migraine (chronic),confusion; severe pain; tingling; odor
Tension Headache,night sweats; heat intolerance; redness; jaundice; breast lump; leg swelling; bloating
Cluster Headache,memory loss; slow wound healing; dizziness
Meningitis (chronic),loss of appetite; sore throat; palpitations
Encephalitis,abdominal pain; numbness; nasal congestion; diarrhea
Seizure Disorder variant 4,excessive thirst; leg swelling; pelvic pain
Epilepsy (acute),numbness; confusion; hair loss; generalized pain; dry mouth; muscle pain; weakness; blood in urine
Multiple Sclerosis (acute),cold intolerance; persistent cough; syncope; cough
Parkinson's Disease,edema; numbness; nausea; tinnitus
Alzheimer's Disease variant 5,headache; blood in urine; depression; gurgling; breast pain; blocked urine flow; frequent infections; loss of consciousness
Peripheral Neuropathy variant 5,heat intolerance; rash; confusion
Bell's Palsy variant 2 #874,wheezing; syncope; bleeding
Guillain-Barre Syndrome,ear discharge; memory loss; diarrhea
Osteoarthritis (acute),bloody cough; difficulty swallowing; hallucinations
Rheumatoid Arthritis variant 1,nasal congestion; confusion; slow wound healing; joint pain; insomnia; acne
Gout,depression; gurgling; breast pain; abdominal pain
Osteoporosis (acute),excessive thirst; burning urination; trauma history; floaters; generalized pain; easy bruising; vision changes; abdominal pain
Scoliosis (acute),frequent infections; runny nose; anxiety; infertility
Herniated Disc,urinary frequency; slow wound healing; sweating; hallucinations; dry skin; eye pain; burning urination
Sciatica,anxiety; jaundice; blocked urine flow; breast lump; postmenopausal bleeding
Sprain/Strain variant 5,blurred vision; bloody cough; jaundice; cold intolerance; back pain; insomnia; mood swings; ear discharge
Fracture,odor; anxiety; gurgling; muscle pain; blood in urine; red eye
Systemic Lupus Erythematosus variant 5,menstrual irregularities; fever; bloody cough; palpitations; redness; dry skin
Psoriasis,memory loss; weight loss; bleeding
Eczema (acute),bleeding; hoarseness; ear discharge
Acne,shortness of breath; odor; localized pain; itching; anxiety
Cellulitis,depression; excessive thirst; night sweats; diarrhea; palpitations; floaters; burning urination
Impetigo variant 3,weight loss; stiffness; blood in urine; polyuria
MRSA Infection,difficulty swallowing; muscle pain; lymphadenopathy; bleeding
Herpes Simplex (chronic),excessive thirst; infertility; insomnia
Herpes Zoster (Shingles) (chronic),wheezing; syncope; bloody cough; jaundice
HIV Infection (acute),sore throat; numbness; localized pain; generalized pain; excessive thirst; diarrhea
AIDS (acute),leg swelling; bleeding; palpitations; wheezing; lymphadenopathy; excessive thirst; vaginal discharge
Mononucleosis,bad breath; headache; odor
Lyme Disease #897,urinary urgency; blurred vision; breast pain; constipation; odor
Malaria,gurgling; edema; cold intolerance; cough
Dengue,bad breath; acne; vaginal discharge; weakness; bruising; confusion; fatigue; pale skin
Typhoid Fever variant 1,insomnia; night sweats; jaundice; weakness in limb; generalized pain; hoarseness; weakness
Rabies,wheezing; menstrual irregularities; red eye; abnormal vaginal bleeding; dry skin; excessive thirst; weakness in limb; vomiting
Tetanus (chronic),blurred vision; swelling; halitosis; menstrual irregularities
Sepsis,loss of appetite; urinary frequency; nausea; hearing loss
Anemia,gurgling; weakness; anxiety; infertility; stiffness; nausea; weakness in limb
Iron Deficiency Anemia (acute),bad breath; generalized pain; loss of appetite; postmenopausal bleeding; weight loss; balance problems
Vitamin B12 Deficiency,sneezing; numbness; menstrual irregularities; edema; excessive thirst; depression; heat intolerance
Thalassemia variant 5,confusion; joint pain; syncope; rash; bad breath; blurred vision; jaundice; severe pain
Hemophilia,vomiting; bloating; easy bruising; breast lump; vision changes; blood in urine; urinary urgency
Leukemia,jaundice; urinary urgency; dry skin; edema
Lymphoma variant 1,odor; bruising; chills
Melanoma,heat intolerance; recurrent infections; eye pain; hair loss; weight gain
Breast Cancer,fatigue; difficulty swallowing; sneezing; severe pain; blocked urine flow; night sweats
Lung Cancer,nausea; bloating; stridor; weakness; joint pain; hair loss; weight gain; redness
Colon Cancer (chronic),urinary frequency; localized pain; recurrent infections
Prostate Cancer (acute),bruising; red eye; hearing loss
Cervical Cancer,yellow eyes; ear pain; stridor
Endometrial Cancer,ear discharge; ear pain; mood swings; memory loss; abnormal vaginal bleeding; stiffness; anxiety
Pancreatic Cancer (acute),hair loss; wheezing; weight gain; localized pain; generalized pain; easy bruising
Bladder Cancer variant 1,vaginal discharge; polyuria; slow wound healing
Skin Cancer #920,fatigue; muscle pain; chills; headache; redness; sneezing; frequent infections
Thyroid Disease variant 2,hair loss; rash; weakness; tinnitus; edema; cough; dizziness; pelvic pain
Hyperthyroidism (acute),rash; slow wound healing; blood in urine; abdominal pain; shortness of breath; swelling; edema; pelvic pain
Hypothyroidism variant 5,vaginal discharge; speech difficulty; loss of consciousness; diarrhea
Graves' Disease (acute),numbness; dry skin; hallucinations; vomiting; runny nose
Hashimoto's Thyroiditis variant 5,weakness in limb; floaters; depression; persistent cough
Adrenal Insufficiency variant 2,fatigue; joint pain; confusion
Cushing's Syndrome,yellow eyes; numbness; menstrual irregularities; gurgling; sweating
Addison's Disease,urinary urgency; severe pain; burning urination
Diabetes Mellitus Type 1,acne; bleeding; back pain; weakness in limb; itching
Diabetes Mellitus Type 2,acne; muscle pain; pelvic pain
Hypoglycemia variant 3,depression; itching; hoarseness
Hyperglycemia variant 5,urinary frequency; menstrual irregularities; slow wound healing; weight loss
Obesity variant 2,wheezing; vaginal discharge; memory loss
Metabolic Syndrome (chronic),heat intolerance; acne; severe pain; difficulty swallowing; breast pain; back pain; excessive thirst; night sweats
Anxiety Disorder (chronic),bruising; cold intolerance; yellow eyes; red eye; mood swings; loss of appetite
Major Depressive Disorder,edema; weight loss; polyuria; mood swings
Bipolar Disorder (chronic),recurrent infections; sneezing; weight loss; bruising; localized pain; loss of consciousness; confusion; blurred vision
Schizophrenia (chronic),edema; insomnia; sweating; pale skin
PTSD (acute),depression; hallucinations; bloody cough
Obsessive Compulsive Disorder,runny nose; pale skin; weight gain
Insomnia (chronic),chest pain; postmenopausal bleeding; pale skin; breast lump; bleeding; eye pain; gurgling; finger clubbing
Substance Use Disorder,itching; night sweats; bad breath; nasal congestion; abdominal pain; loss of appetite; runny nose; chest pain
Alcohol Use Disorder #943,heat intolerance; rash; cold intolerance; insomnia; difficulty swallowing; dry skin; severe pain
Smoking Related Disorder (acute),burning urination; nausea; localized pain
Osteomyelitis (chronic),weight loss; weakness in limb; cold intolerance; hearing loss; persistent cough; edema
Rickets,runny nose; pelvic pain; numbness; hearing loss; weight loss
Scurvy (chronic),nasal congestion; hoarseness; palpitations; breast lump
Dehydration (acute),rash; breast lump; hoarseness
Heat Stroke,easy bruising; sneezing; abnormal vaginal bleeding; ear pain; dizziness; sore throat; eye pain; heat intolerance
Hypothermia,localized pain; jaundice; floaters; joint pain; vision changes; infertility
Influenza variant 4,cold intolerance; stridor; vaginal discharge
Common Cold,pale skin; menstrual irregularities; heat intolerance; gurgling; excessive thirst; dry skin; hallucinations; confusion
Pneumonia (chronic),loss of consciousness; halitosis; palpitations; memory loss; abdominal pain; red eye; floaters; fatigue
Bronchitis (acute),memory loss; hallucinations; menstrual irregularities; stridor
Asthma variant 4,depression; pelvic pain; memory loss
Chronic Obstructive Pulmonary Disease variant 1,weakness; nasal congestion; swelling; eye pain; menstrual irregularities; bleeding; bad breath; redness
Tuberculosis,chills; vision changes; swelling; heat intolerance; weakness; localized pain
COVID-19,weight gain; tinnitus; leg swelling; red eye; vomiting; bloody cough; weakness in limb
Sinusitis (acute),runny nose; bad breath; polyuria
Allergic Rhinitis variant 3,mood swings; weight loss; menstrual irregularities; breast lump; jaundice; red eye; chest pain; sore throat
Otitis Media,dry mouth; persistent cough; sneezing; floaters; vomiting; muscle pain
Pharyngitis (acute),localized pain; edema; persistent cough; frequent infections; sweating
Tonsillitis (chronic),wheezing; constipation; vomiting; bloating; loss of consciousness; red eye; finger clubbing; blood in urine
Gastroenteritis variant 2,confusion; loss of consciousness; pelvic pain
Gastritis variant 3,frequent infections; speech difficulty; heat intolerance; sweating; vaginal discharge; anxiety; fatigue; odor
Peptic Ulcer Disease variant 1 #966,yellow eyes; insomnia; slow wound healing; night sweats
GERD variant 5,weight gain; sore throat; odor; persistent cough
Hepatitis A (acute),breast pain; bruising; wheezing
Hepatitis B,redness; acne; runny nose; constipation; loss of appetite; sneezing
Hepatitis C,hair loss; postmenopausal bleeding; muscle pain
Fatty Liver (acute),floaters; tingling; mood swings
Cirrhosis (acute),cold intolerance; tingling; back pain
Pancreatitis,dry mouth; slow wound healing; hearing loss; floaters
Gallstones (chronic),eye pain; nausea; dry skin; fever; joint pain; anxiety
Appendicitis variant 4,hair loss; acne; depression; ear pain; weakness
Irritable Bowel Syndrome (chronic),weight gain; headache; edema; urinary urgency
Ulcerative Colitis variant 1,weight gain; palpitations; easy bruising
Crohn's Disease (acute),cold intolerance; bleeding; yellow eyes; vomiting; weakness; abdominal pain; breast pain
Diverticulitis (acute),sweating; trauma history; redness; heat intolerance
Celiac Disease variant 4,localized pain; generalized pain; dry skin; excessive thirst; halitosis; depression; sore throat; floaters
Constipation (chronic),polyuria; blood in urine; palpitations; vomiting; odor; bleeding; jaundice; blocked urine flow
Diarrhea,dizziness; postmenopausal bleeding; vision changes; anxiety; swelling; hearing loss
Urinary Tract Infection,constipation; localized pain; itching; yellow eyes
Pyelonephritis,breast lump; confusion; ear pain; generalized pain; heat intolerance; headache; abdominal pain
Kidney Stones,wheezing; acne; confusion; vomiting; balance problems; bloody cough; localized pain
Acute Renal Failure variant 2,halitosis; loss of consciousness; redness; vision changes; cold intolerance; pale skin; stiffness
Chronic Kidney Disease (chronic),excessive thirst; hair loss; burning urination; loss of appetite; heat intolerance; insomnia; tingling
Urinary Incontinence,wheezing; acne; tingling; lymphadenopathy; runny nose; heat intolerance; difficulty swallowing
Benign Prostatic Hyperplasia #989,swelling; nasal congestion; fever; constipation; chest pain; tinnitus; acne; frequent infections
Prostatitis,stridor; ear pain; recurrent infections
Erectile Dysfunction,breast pain; breast lump; fatigue; yellow eyes; urinary urgency; depression; lymphadenopathy
Endometriosis (acute),ear discharge; cough; finger clubbing; sneezing; localized pain; redness; muscle pain; frequent infections
Polycystic Ovary Syndrome,bruising; bleeding; weakness in limb
Pelvic Inflammatory Disease variant 5,jaundice; odor; fever; bloating; severe pain; yellow eyes; urinary frequency
Ovarian Cyst (acute),bloody cough; insomnia; heat intolerance; chest pain; sore throat; nasal congestion
Ectopic Pregnancy,urinary frequency; trauma history; balance problems; hearing loss; recurrent infections
Preeclampsia (acute),leg swelling; weight loss; balance problems
Gestational Diabetes (chronic),acne; floaters; hallucinations; yellow eyes
Pneumothorax,halitosis; breast lump; gurgling; headache; memory loss; bleeding
